,word,importance
360,betterbr,-0.02554984160110587
361,beware,-4.064215808907539
362,bien,1.1851125037689585
363,big,-0.632663326783287
364,bigger,0.39055133326308333
365,biggest,-0.8746175764774574
366,bikini,-0.022285957231705886
367,birthday,2.357347640638319
368,bit,1.259787057874642
369,bite,0.24808437227048555
370,bites,1.3392704729120584
371,bits,-0.6501794053381501
372,black,-0.573485021285618
373,blackheads,-0.7931139705258483
374,blade,0.04478602734855376
375,blades,0.21847014264964176
376,blame,0.01358267117183258
377,blast,0.8263993021568742
378,bleach,0.41235742155469973
379,bleached,0.9197520634827988
380,bleaching,0.9399528503277875
381,bleed,0.4414356302327884
382,bleeding,0.6568956103247817
383,blemishes,-0.17485939478698945
384,blend,-0.4732330819942396
385,blendable,0.11535189287916936
386,blended,0.8637667925184033
387,blender,-0.025276422252541158
388,blending,0.2837155489809755
389,blends,2.155438080622405
390,blepharitis,0.7357867309500865
391,blew,-1.4330462426085164
392,blind,-0.616168765495515
393,bling,0.8013517005401385
394,block,0.1507854518086852
395,blond,-0.06771804140517926
396,blonde,-0.4576390051541635
397,blood,0.5059324166765312
398,blotchy,-0.4957182838067949
399,blow,0.16389171522299462
400,blowdryer,-0.5437461275027906
401,blowing,-0.22569847380901556
402,blown,0.9399166865577976
403,blue,-0.7527971372324985
404,blush,0.1300182772408285
405,bo,-1.5406259600027736
406,boar,-0.10796228758748415
407,board,-0.1070815529367696
408,boars,-0.03623330467727391
409,boat,0.5611174069310596
410,bob,-0.06212327065966008
411,bobby,-0.3638119026374666
412,body,0.5715437741477092
413,bold,0.5125396263749802
414,bomb,0.9463441032018236
415,bombs,0.16823548405979752
416,bond,-0.11754992520206091
417,bonder,0.04329436539829003
418,bone,0.19670289192980694
419,bonnet,-0.33026482619100733
420,bonnets,0.26247770670191944
421,bonus,2.3019371309290397
422,boo,-0.12284004804731169
423,book,1.4251258627316117
424,boost,0.520149571780482
425,boot,0.4264641237417086
426,boots,0.2655421729745959
427,born,-0.06663464660503243
428,bother,0.6204193209944461
429,bothered,-0.2864827136846778
430,bottle,-0.7167177467940224
431,bottlebr,0.21975926900194367
432,bottled,0.6360798456045147
433,bottles,-0.18756307956551496
434,bottoms,-0.2635357309689046
435,bought,-0.4063331196368232
436,bounce,0.440293617870581
437,bouncy,0.7955046394404754
438,bow,-0.7224208808155413
439,bowl,0.088443406299442
440,bows,-0.07111732800541459
441,box,-0.7789286618372466
442,boxed,-0.12759240093883836
443,boxes,-0.6440570839062264
444,boy,0.6166333377775857
